country,date,inflation_rate,interest_rate,oil_price,gdp_growth,unemployment_rate,money_supply_m2,exchange_rate_usd,food_price_index,supply_chain_index
USA,2022-08,3.96,5.19,141.67,2.28,5.01,12170.0,76.58,122.08,1.84
USA,2022-09,3.7,6.21,100.67,3.22,6.08,14285.0,76.55,113.7,1.32
USA,2022-10,3.6,4.08,99.35,4.82,7.05,9071.0,71.84,115.6,1.0
USA,2022-11,5.55,5.7,110.18,2.02,6.35,10744.0,71.09,117.29,1.97
USA,2022-12,3.39,5.96,125.98,0.11,6.27,10928.0,70.77,126.67,1.0
USA,2023-01,3.48,5.56,58.28,4.23,6.36,12196.0,74.08,125.67,2.39
USA,2023-02,3.66,4.09,81.98,5.72,2.96,11759.0,72.22,145.7,2.08
USA,2023-03,2.57,5.52,69.54,3.99,5.09,16305.0,70.24,115.54,1.48
USA,2023-04,5.03,5.23,78.66,3.11,7.28,15557.0,71.75,134.06,1.53
USA,2023-05,4.47,5.73,84.6,0.09,5.78,12712.0,68.36,128.42,2.41
USA,2023-06,2.3,5.32,60.52,4.94,5.74,13942.0,75.9,144.77,1.0
USA,2023-07,0.93,3.66,74.41,3.68,4.91,13768.0,74.36,132.76,1.36
USA,2023-08,1.24,5.01,67.79,3.6,6.52,12856.0,72.19,133.12,1.45
USA,2023-09,2.8,6.29,64.05,1.34,4.7,15757.0,80.84,132.42,1.77
USA,2023-10,4.11,5.78,87.41,3.33,3.98,15998.0,78.79,127.31,1.58
USA,2023-11,1.8,6.2,71.53,4.77,4.86,8500.0,65.37,132.0,1.33
USA,2023-12,4.01,4.74,85.68,4.59,4.72,13860.0,73.31,113.35,1.99
USA,2024-01,5.19,4.68,86.74,1.3,4.99,13656.0,72.27,147.47,1.0
USA,2024-02,0.99,3.94,78.08,2.38,3.07,12668.0,73.54,138.08,1.28
USA,2024-03,2.41,5.96,79.39,5.2,3.88,15441.0,75.46,132.64,1.52
USA,2024-04,4.81,4.13,72.63,-0.88,5.35,13130.0,73.44,130.12,2.69
USA,2024-05,3.04,2.3,74.17,1.88,3.6,18267.0,73.16,138.13,1.54
USA,2024-06,2.86,4.97,76.07,5.32,5.56,13018.0,70.13,146.54,1.11
USA,2024-07,1.34,6.34,94.25,2.72,3.83,12767.0,68.53,153.96,2.01
USA,2024-08,3.08,4.39,85.65,3.02,4.04,14357.0,71.93,133.74,1.51
USA,2024-09,1.73,5.44,75.03,4.28,4.42,6992.0,74.34,142.37,1.23
USA,2024-10,1.73,6.8,76.8,6.74,5.43,14581.0,71.26,132.38,1.76
USA,2024-11,5.84,4.45,81.68,0.45,5.3,12716.0,74.32,128.61,1.0
USA,2024-12,5.57,4.15,70.33,5.02,5.61,12859.0,70.68,147.72,1.43
VNM,2020-01,3.72,1.59,41.86,3.84,6.75,10173.0,91.07,103.38,3.2
VNM,2020-02,3.78,2.03,37.84,5.65,7.37,9158.0,98.57,96.74,3.7
VNM,2020-03,4.55,1.39,29.81,1.54,8.18,6258.0,91.97,103.27,3.0
VNM,2020-04,6.89,0.27,28.94,3.79,6.84,11542.0,95.93,95.85,3.62
VNM,2020-05,5.03,0.89,40.91,3.16,5.64,9081.0,90.77,100.72,3.62
VNM,2020-06,3.66,1.47,41.67,-0.46,6.06,8980.0,96.51,103.77,4.02
VNM,2020-07,4.82,3.62,44.35,-0.05,5.26,10827.0,99.94,82.21,4.18
VNM,2020-08,3.7,4.19,39.72,1.76,6.61,7749.0,95.22,107.26,3.64
VNM,2020-09,4.14,3.09,36.05,4.69,5.99,13764.0,92.4,90.1,3.74
VNM,2020-10,4.22,1.59,45.47,0.65,5.49,13059.0,96.82,83.45,2.65
VNM,2020-11,0.58,3.41,33.55,0.98,5.0,9328.0,91.72,97.54,2.85
VNM,2020-12,3.77,3.59,39.73,3.75,6.23,11392.0,104.95,88.93,3.38
VNM,2021-01,3.26,1.6,70.14,0.85,5.45,11436.0,90.46,109.67,1.49
VNM,2021-02,4.46,-0.91,71.06,4.18,7.25,14309.0,91.39,89.27,1.37
VNM,2021-03,2.26,3.5,55.92,3.87,7.27,8557.0,87.74,117.22,1.11
VNM,2021-04,5.07,1.5,74.89,1.25,6.71,12569.0,91.31,114.44,1.0
VNM,2021-05,3.49,1.43,59.19,2.65,4.75,12305.0,92.13,119.24,1.81
VNM,2021-06,5.95,0.19,80.49,3.21,4.72,7901.0,83.31,127.55,1.15
VNM,2021-07,3.39,2.14,72.11,1.92,7.1,9801.0,93.69,111.14,1.45
VNM,2021-08,4.54,0.4,69.43,3.49,6.17,7238.0,93.07,108.16,1.65
VNM,2021-09,4.18,0.77,64.6,2.82,4.3,11431.0,95.19,120.29,1.11
VNM,2021-10,4.46,-0.1,79.83,-0.56,5.38,13232.0,95.39,110.26,2.33
VNM,2021-11,3.17,0.34,71.87,0.15,4.65,9655.0,97.89,100.24,1.12
VNM,2021-12,4.74,0.89,96.32,3.4,5.42,11407.0,104.89,111.22,1.75
VNM,2022-01,5.03,3.52,127.24,1.25,7.31,11916.0,90.37,127.08,1.15
VNM,2022-02,3.9,1.02,124.59,2.0,5.43,8231.0,93.81,126.21,1.81
VNM,2022-03,5.2,2.83,115.7,4.17,5.96,13343.0,85.27,119.3,1.81
VNM,2022-04,5.09,0.66,113.12,4.61,5.46,8936.0,93.12,126.82,1.64
VNM,2022-05,6.32,1.28,124.07,1.63,5.19,12231.0,90.76,122.22,1.24
VNM,2022-06,4.85,3.19,96.58,2.89,6.53,10945.0,94.23,105.14,1.41
VNM,2022-07,6.15,3.15,111.23,7.1,5.14,10759.0,99.75,115.54,2.03
VNM,2022-08,5.1,0.4,102.16,0.66,4.5,11324.0,92.83,112.32,1.29
VNM,2022-09,5.33,1.53,133.26,2.4,6.17,14362.0,94.77,108.77,1.0
VNM,2022-10,6.66,1.11,117.39,1.44,4.88,17893.0,90.02,114.45,1.64
VNM,2022-11,6.35,2.22,131.31,1.4,6.13,10002.0,85.94,122.03,1.21
VNM,2022-12,4.22,2.03,136.94,3.17,6.16,11070.0,92.17,140.1,1.19
VNM,2023-01,5.69,3.54,63.97,1.96,5.22,12914.0,98.51,129.84,1.13
VNM,2023-02,4.94,2.43,70.75,6.69,5.58,15715.0,95.73,126.41,1.26
VNM,2023-03,5.36,2.91,81.56,5.76,5.65,15773.0,93.67,128.33,1.75
VNM,2023-04,4.76,1.77,68.46,5.56,5.19,11977.0,86.67,130.46,1.68
VNM,2023-05,5.26,1.96,80.16,3.5,6.58,12200.0,94.29,129.05,2.58
VNM,2023-06,2.21,2.82,76.49,0.95,5.13,13505.0,98.54,123.0,1.28
VNM,2023-07,4.78,1.68,70.53,1.89,6.88,17070.0,82.77,115.52,1.69
VNM,2023-08,3.7,1.99,70.98,1.87,3.72,14842.0,96.01,138.72,1.0
VNM,2023-09,2.92,1.05,89.77,2.91,5.24,9034.0,94.62,127.59,1.0
VNM,2023-10,5.69,2.09,86.55,3.91,5.57,15905.0,95.98,134.48,1.46
VNM,2023-11,4.01,3.18,76.57,1.65,6.8,12767.0,86.34,129.6,1.85
VNM,2023-12,5.02,1.3,69.55,-0.78,4.55,11303.0,85.62,105.76,1.92
VNM,2024-01,4.12,1.7,84.71,3.49,3.34,11292.0,97.07,155.03,1.71
VNM,2024-02,4.75,1.5,80.16,2.14,3.5,8283.0,101.35,137.19,1.6
VNM,2024-03,5.15,2.67,76.57,3.62,3.85,17918.0,94.82,146.98,1.79
VNM,2024-04,4.33,3.06,83.81,3.9,6.58,12501.0,101.06,133.11,2.02
VNM,2024-05,5.62,2.17,76.09,4.55,3.93,13103.0,102.95,139.76,1.26
VNM,2024-06,4.8,2.36,82.62,1.45,4.24,14336.0,94.84,123.31,1.52
VNM,2024-07,5.94,0.28,77.1,3.95,5.55,10568.0,90.85,156.84,2.29
VNM,2024-08,4.54,2.4,79.77,0.35,5.98,16474.0,90.08,153.8,1.41
VNM,2024-09,5.28,1.07,82.96,3.45,5.67,12459.0,91.27,145.44,1.63
VNM,2024-10,4.42,1.38,62.91,1.26,3.21,9129.0,90.81,151.61,2.07
VNM,2024-11,6.27,0.46,79.72,5.49,4.01,14215.0,91.0,124.43,1.74
VNM,2024-12,4.56,1.42,85.1,7.65,4.88,13022.0,97.78,144.3,1.33
EU,2020-01,4.27,-0.48,40.24,1.12,6.95,9738.0,27.35,94.11,3.16
EU,2020-02,5.39,-1.54,42.26,7.38,5.63,12172.0,26.06,104.03,3.43
EU,2020-03,4.98,0.4,41.38,2.59,5.58,12146.0,30.08,99.69,3.17
EU,2020-04,5.5,0.76,41.54,2.4,5.42,10135.0,25.85,106.68,3.28
EU,2020-05,2.49,0.31,36.14,2.18,7.94,12010.0,27.83,105.64,3.65
EU,2020-06,2.98,1.28,35.33,2.77,7.79,11140.0,27.5,97.39,4.02
EU,2020-07,3.08,2.11,33.61,-1.61,6.2,8230.0,26.52,87.07,2.68
EU,2020-08,5.01,-1.69,36.5,0.13,6.56,13068.0,26.72,111.26,4.04
EU,2020-09,3.94,-1.26,34.22,6.16,7.23,12891.0,28.13,106.8,2.73
EU,2020-10,3.44,0.53,41.96,-0.4,5.63,11106.0,28.67,90.16,3.41
EU,2020-11,2.86,1.33,30.44,0.29,4.91,13029.0,27.12,98.66,3.7
EU,2020-12,4.55,0.72,42.76,-0.37,7.9,10445.0,26.55,99.25,4.42
EU,2021-01,4.95,0.94,74.72,1.43,6.4,13654.0,25.57,115.0,1.57
EU,2021-02,2.55,1.31,66.99,0.6,6.8,12653.0,29.83,104.4,1.36
EU,2021-03,5.34,-0.68,72.39,3.05,5.27,15890.0,27.96,106.46,1.11
EU,2021-04,2.54,2.02,86.23,-1.37,6.31,11589.0,27.91,109.98,1.0
EU,2021-05,1.79,1.66,55.64,2.61,5.47,13148.0,28.11,93.77,1.0
EU,2021-06,3.68,-0.2,62.89,2.07,5.38,10565.0,28.75,117.01,1.21
EU,2021-07,4.61,-0.67,74.63,3.39,7.95,8420.0,29.7,107.4,2.56
EU,2021-08,2.39,-0.36,63.19,2.16,7.58,12385.0,29.14,106.93,1.0
EU,2021-09,2.54,1.34,64.66,2.15,7.23,11161.0,27.65,102.51,1.0
EU,2021-10,4.94,-0.51,73.62,0.22,5.3,12281.0,27.46,107.61,1.75
EU,2021-11,3.42,-0.57,61.52,3.67,6.03,15743.0,27.34,112.51,1.0
EU,2021-12,3.24,1.13,74.64,3.2,5.49,13566.0,25.72,107.64,1.28
EU,2022-01,3.82,0.73,94.45,2.05,5.7,12121.0,26.93,144.65,2.16
EU,2022-02,3.88,0.19,117.95,0.52,6.01,12153.0,24.88,120.54,1.0
EU,2022-03,3.29,-0.23,66.68,3.58,4.22,12680.0,27.91,110.33,1.65
EU,2022-04,3.67,0.19,109.06,1.09,5.8,11014.0,27.36,113.72,1.22
EU,2022-05,3.13,2.85,86.99,0.41,5.29,13199.0,28.69,118.71,1.96
EU,2022-06,4.13,1.44,92.43,4.02,5.47,11240.0,26.8,118.26,2.1
EU,2022-07,3.72,-0.56,122.95,0.51,5.47,12261.0,30.16,100.4,1.1
EU,2022-08,5.57,-1.74,109.4,1.61,4.63,9929.0,27.73,97.24,2.08
EU,2022-09,4.8,0.15,127.13,2.32,6.42,8162.0,29.0,134.11,1.0
EU,2022-10,5.05,-0.63,121.99,2.63,5.59,12404.0,27.03,137.22,1.18
EU,2022-11,3.52,1.86,113.55,0.54,4.17,10074.0,28.92,126.8,1.27
EU,2022-12,4.09,-0.22,103.46,4.26,6.11,10301.0,25.63,133.11,1.64
EU,2023-01,4.13,1.78,77.25,1.83,5.04,14668.0,29.8,144.56,1.04
EU,2023-02,1.66,1.12,79.75,2.58,4.41,13934.0,24.96,117.19,1.07
EU,2023-03,4.32,0.23,79.64,3.42,4.84,11742.0,28.59,116.59,1.57
EU,2023-04,4.13,1.77,77.13,2.72,5.89,10885.0,25.92,137.34,1.92
EU,2023-05,4.42,0.47,77.61,4.63,5.58,12755.0,25.3,130.3,1.52
EU,2023-06,6.15,-1.34,80.79,3.16,6.81,15796.0,27.79,136.24,2.65
EU,2023-07,4.1,0.54,70.02,4.66,4.07,12349.0,26.76,142.88,1.74
EU,2023-08,3.04,0.04,63.8,0.78,5.28,16761.0,25.36,144.55,1.86
EU,2023-09,5.77,-1.53,71.37,4.18,5.34,10875.0,29.33,113.01,1.09
EU,2023-10,3.2,0.74,68.99,1.33,7.21,11510.0,27.51,127.04,2.08
EU,2023-11,5.66,1.52,89.89,1.75,5.83,17240.0,29.13,129.93,2.44
EU,2023-12,4.77,-2.21,69.81,4.6,4.57,14773.0,26.19,121.14,1.97
EU,2024-01,4.81,1.14,82.88,7.22,3.42,14532.0,27.7,136.5,1.0
EU,2024-02,5.14,-0.69,78.17,4.2,3.09,8575.0,26.62,128.26,2.1
EU,2024-03,2.91,0.36,68.62,2.76,4.9,16892.0,29.24,138.08,1.59
EU,2024-04,3.76,-2.31,79.69,3.18,5.4,12940.0,27.83,147.78,1.6
EU,2024-05,3.08,0.68,82.37,1.55,3.61,14990.0,27.04,143.55,1.21
EU,2024-06,3.16,0.03,74.46,3.47,4.6,18391.0,24.93,128.69,1.35
EU,2024-07,3.01,0.66,81.48,3.28,3.9,15967.0,26.08,148.85,1.54
EU,2024-08,3.59,0.64,83.4,4.2,3.69,20761.0,26.76,136.85,1.0
EU,2024-09,3.22,3.22,83.8,2.91,4.65,16849.0,29.82,143.79,1.28
EU,2024-10,3.85,0.11,75.03,7.52,6.27,13838.0,26.37,129.66,1.0
EU,2024-11,5.27,0.5,88.38,2.24,5.1,12188.0,26.64,132.91,1.53
EU,2024-12,3.04,0.2,75.39,4.52,4.82,14266.0,27.26,139.68,1.0
IND,2020-01,6.8,3.84,41.49,1.73,5.06,9147.0,48.36,109.19,3.12
IND,2020-02,6.6,2.76,45.4,3.21,6.98,12562.0,48.42,91.54,3.28
IND,2020-03,5.03,3.12,38.33,5.63,5.43,8090.0,53.57,100.24,3.3
IND,2020-04,5.67,2.51,42.26,3.47,7.69,10857.0,51.48,125.9,2.97
IND,2020-05,6.84,2.4,40.97,1.84,7.82,10677.0,52.88,89.93,3.32
IND,2020-06,5.02,3.99,39.41,1.45,5.5,8784.0,52.14,94.95,2.44
IND,2020-07,6.59,1.77,38.81,4.73,6.18,9216.0,53.84,112.17,3.32
IND,2020-08,6.0,1.79,37.84,2.15,5.32,9952.0,48.87,111.88,3.7
IND,2020-09,4.63,2.22,41.42,3.24,5.15,11173.0,54.88,101.26,3.37
IND,2020-10,5.2,3.04,36.61,2.48,7.13,10359.0,51.06,111.1,3.76
IND,2020-11,5.76,1.72,43.36,3.71,6.38,9735.0,52.15,78.27,4.45
IND,2020-12,5.97,3.4,39.55,0.63,7.01,10381.0,51.88,97.4,3.67
IND,2021-01,4.88,3.5,60.65,2.73,7.84,9821.0,49.16,107.77,2.04
IND,2021-02,5.23,1.64,66.97,-0.14,6.95,7444.0,49.77,127.11,1.9
IND,2021-03,2.55,2.93,70.7,3.95,6.5,8960.0,52.54,111.9,2.08
IND,2021-04,6.05,3.2,76.78,4.75,5.86,6973.0,54.07,119.53,1.17
IND,2021-05,6.25,1.09,86.4,1.51,5.16,11166.0,49.59,131.71,1.87
IND,2021-06,5.58,2.07,75.51,2.39,5.26,14729.0,48.5,96.8,1.52
IND,2021-07,4.42,2.61,65.71,-1.01,6.76,7906.0,46.39,110.82,1.15
IND,2021-08,5.01,0.82,62.48,2.23,5.84,13949.0,50.57,116.71,1.66
IND,2021-09,3.17,2.71,66.81,5.8,5.94,13367.0,46.25,102.92,1.1
IND,2021-10,6.3,1.11,54.16,3.79,5.52,12119.0,54.07,111.47,1.63
IND,2021-11,4.6,1.97,67.31,1.58,5.01,6266.0,50.22,108.69,1.05
IND,2021-12,5.64,1.6,63.5,4.82,5.9,11972.0,51.8,110.19,1.58
IND,2022-01,6.02,3.06,124.3,0.21,5.61,10530.0,49.51,119.67,1.64
IND,2022-02,5.66,2.85,81.77,0.44,6.77,12223.0,52.46,111.34,1.23
IND,2022-03,6.09,3.61,100.31,4.5,4.83,9135.0,49.41,133.92,2.39
IND,2022-04,7.0,3.49,113.9,-1.0,6.8,13946.0,52.62,103.38,1.43
IND,2022-05,4.91,2.48,93.64,1.88,6.28,9346.0,53.52,133.1,1.29
IND,2022-06,5.55,3.66,106.86,5.73,4.27,10066.0,49.97,114.08,1.0
IND,2022-07,5.69,2.68,97.86,3.59,5.51,10863.0,49.76,115.64,1.71
IND,2022-08,6.19,3.25,104.45,1.91,6.2,15837.0,52.97,116.66,1.37
IND,2022-09,6.84,1.57,108.39,0.11,5.64,8230.0,55.61,137.33,1.72
IND,2022-10,6.79,1.91,117.51,1.26,5.33,10698.0,45.08,115.28,1.0
IND,2022-11,5.0,1.77,93.91,-2.56,5.21,16978.0,54.93,131.01,1.62
IND,2022-12,5.29,5.34,117.45,-0.51,5.75,11746.0,52.75,124.68,1.27
IND,2023-01,6.53,2.35,77.46,4.24,4.63,13700.0,49.96,133.77,1.3
IND,2023-02,8.63,1.79,74.59,1.69,4.4,16281.0,44.69,143.74,1.0
IND,2023-03,5.25,2.98,83.45,4.04,5.65,12857.0,50.26,135.56,1.61
IND,2023-04,4.83,3.29,73.79,-2.88,5.66,15948.0,49.99,131.95,1.4
IND,2023-05,6.47,3.1,83.99,1.06,3.62,10991.0,52.19,123.73,1.97
IND,2023-06,6.55,2.05,79.1,3.86,5.8,14342.0,53.01,137.54,1.86
IND,2023-07,5.11,1.81,77.81,2.67,4.26,12931.0,49.67,123.25,2.04
IND,2023-08,4.28,2.69,72.54,1.37,5.66,13555.0,46.01,139.38,1.0
IND,2023-09,5.19,2.5,68.85,2.47,3.0,15157.0,46.93,136.35,1.03
IND,2023-10,5.95,-0.33,77.22,3.37,6.8,9597.0,50.56,142.39,2.18
IND,2023-11,5.09,3.2,81.46,5.12,7.76,14239.0,48.76,133.92,1.01
IND,2023-12,4.96,2.17,60.85,3.3,4.18,11936.0,50.03,141.21,1.15
IND,2024-01,5.37,1.83,78.03,2.18,4.2,16310.0,47.98,126.54,1.58
IND,2024-02,4.83,3.54,85.25,3.23,4.89,14542.0,50.7,138.97,1.63
IND,2024-03,4.45,3.62,65.37,5.43,5.74,17984.0,50.53,140.89,1.43
IND,2024-04,3.5,2.55,78.1,2.6,4.5,17371.0,46.42,146.01,1.81
IND,2024-05,5.75,2.55,76.7,2.59,5.95,12577.0,50.78,143.27,1.0
IND,2024-06,4.48,3.36,73.17,1.36,2.95,13788.0,50.97,148.18,2.02
IND,2024-07,4.44,4.34,74.78,1.7,5.14,10670.0,51.54,136.71,2.06
IND,2024-08,4.91,3.43,79.02,2.47,4.27,11194.0,43.62,130.06,1.52
IND,2024-09,6.75,2.43,94.48,3.54,5.05,13946.0,52.82,128.19,1.89
IND,2024-10,7.02,3.37,84.31,4.68,4.15,14055.0,50.29,134.26,1.72
IND,2024-11,3.48,2.74,72.57,3.85,4.74,14461.0,53.76,137.77,1.0
IND,2024-12,4.55,2.52,75.03,6.82,4.52,9399.0,46.88,142.31,1.45
CHN,2020-01,5.1,0.33,41.97,-1.1,8.08,10651.0,65.08,88.3,4.21
CHN,2020-02,4.14,1.03,38.82,2.74,5.41,6329.0,62.55,98.44,3.37
CHN,2020-03,2.84,0.93,40.02,3.18,5.88,8940.0,56.52,121.88,2.69
CHN,2020-04,1.99,1.15,39.58,2.24,6.55,7536.0,61.11,103.32,3.4
CHN,2020-05,3.81,0.75,36.42,2.6,5.92,10325.0,64.22,100.27,3.58
CHN,2020-06,4.79,2.1,33.78,3.85,6.73,11662.0,62.41,87.97,3.02
CHN,2020-07,4.23,-0.57,43.09,0.11,5.42,11257.0,64.66,104.7,3.4
CHN,2020-08,2.42,-0.09,35.64,2.18,5.74,9027.0,58.23,84.34,3.49
CHN,2020-09,5.2,1.29,41.24,3.88,5.91,10201.0,57.5,104.06,3.58
CHN,2020-10,6.01,-0.82,33.78,1.57,6.71,8805.0,57.62,98.11,3.14
CHN,2020-11,3.91,1.66,42.75,3.06,6.21,8390.0,61.16,114.11,4.82
CHN,2020-12,4.42,0.15,22.64,-0.55,6.13,7349.0,62.46,104.44,3.7
CHN,2021-01,3.51,1.66,82.66,4.07,6.74,9947.0,63.75,100.48,1.32
CHN,2021-02,2.5,1.39,80.53,-3.12,5.27,7333.0,59.22,99.77,1.21
CHN,2021-03,3.2,1.84,82.17,-0.12,4.8,10446.0,64.24,118.64,1.91
CHN,2021-04,3.14,0.11,58.65,2.46,7.8,7216.0,63.93,113.83,2.23
CHN,2021-05,0.99,1.5,75.68,3.94,6.8,7505.0,59.45,110.33,1.55
CHN,2021-06,4.42,1.52,71.57,1.85,7.09,13190.0,61.11,119.24,2.04
CHN,2021-07,1.44,-0.52,64.64,4.12,6.94,8142.0,62.7,116.34,1.77
CHN,2021-08,2.83,-0.01,69.25,4.89,5.94,9824.0,64.85,114.55,1.73
CHN,2021-09,3.14,0.74,71.93,1.52,6.27,15002.0,66.76,112.44,2.16
CHN,2021-10,4.98,1.08,67.2,3.62,5.35,8773.0,65.9,117.72,1.0
CHN,2021-11,2.97,-0.4,70.7,4.5,4.48,8795.0,59.72,122.18,1.18
CHN,2021-12,2.78,2.52,68.48,0.69,5.57,13050.0,64.12,108.37,1.15
CHN,2022-01,4.32,1.22,130.81,5.54,5.01,9155.0,60.78,117.06,2.07
CHN,2022-02,1.57,2.22,84.97,1.27,4.86,12186.0,58.97,137.02,1.0
CHN,2022-03,3.76,0.58,97.57,4.4,4.21,7806.0,63.67,120.88,1.17
CHN,2022-04,4.91,2.2,112.79,5.0,6.69,10049.0,57.51,130.14,1.6
CHN,2022-05,4.31,0.98,119.83,5.83,6.22,11484.0,67.72,111.35,1.0
CHN,2022-06,3.96,0.59,106.16,3.49,5.11,8103.0,59.73,124.2,1.34
CHN,2022-07,6.08,0.27,114.75,5.85,5.01,8147.0,62.16,120.16,1.59
CHN,2022-08,4.49,1.06,129.36,3.64,4.8,9664.0,67.75,111.29,1.9
CHN,2022-09,5.23,1.16,134.22,-0.3,5.71,12979.0,64.56,134.17,2.0
CHN,2022-10,4.5,0.86,135.68,4.03,3.78,10513.0,64.96,122.85,1.41
CHN,2022-11,5.94,-0.05,126.6,4.16,4.48,17139.0,56.08,103.85,1.82
CHN,2022-12,3.98,0.01,112.76,2.51,6.29,7744.0,63.22,119.83,1.26
CHN,2023-01,3.17,0.21,88.99,4.09,3.96,11182.0,62.94,131.36,1.0
CHN,2023-02,2.94,0.8,77.64,-0.32,2.86,10096.0,65.7,135.33,1.0
CHN,2023-03,2.78,-0.66,69.66,4.42,5.01,10022.0,55.75,140.65,2.0
CHN,2023-04,4.3,0.88,75.11,3.33,4.61,15202.0,58.99,145.91,1.71
CHN,2023-05,2.61,1.45,67.1,3.22,6.74,10304.0,63.76,127.19,1.77
CHN,2023-06,3.28,-0.71,72.7,4.2,4.85,9029.0,60.13,124.07,1.55
CHN,2023-07,3.21,2.12,75.9,5.68,2.67,7561.0,65.72,140.86,1.72
CHN,2023-08,2.84,1.25,64.62,7.44,5.25,12373.0,61.38,120.83,2.01
CHN,2023-09,3.92,-0.58,78.47,2.74,5.18,11771.0,63.24,103.15,1.1
CHN,2023-10,4.95,-0.39,68.88,4.68,6.24,15492.0,63.56,131.32,2.51
CHN,2023-11,2.75,2.13,58.31,3.67,4.7,12379.0,65.62,129.1,1.41
CHN,2023-12,2.91,1.2,69.41,3.09,5.19,15446.0,61.82,124.4,1.36
CHN,2024-01,6.04,0.02,78.23,0.99,3.03,10982.0,60.5,138.13,2.17
CHN,2024-02,4.83,0.5,78.3,7.72,4.77,16710.0,66.79,155.13,2.14
CHN,2024-03,4.15,0.76,84.51,5.65,6.03,10796.0,64.08,132.79,1.81
CHN,2024-04,4.98,1.25,79.29,6.38,5.28,14610.0,68.25,143.11,1.68
CHN,2024-05,4.1,1.64,79.45,2.24,3.49,11234.0,60.28,132.42,1.0
CHN,2024-06,4.19,0.93,79.06,2.54,5.66,14087.0,65.89,135.79,1.0
CHN,2024-07,2.8,0.65,85.56,0.66,5.61,14275.0,60.53,131.83,1.0
CHN,2024-08,4.97,1.75,84.21,4.57,5.21,15730.0,59.47,147.6,1.0
CHN,2024-09,4.33,1.2,77.24,2.42,4.57,13069.0,66.07,127.65,1.47
CHN,2024-10,4.39,-0.0,78.25,3.75,5.66,15805.0,63.58,131.89,1.27
CHN,2024-11,5.47,0.11,79.42,-0.12,5.14,17401.0,64.59,127.99,1.25
CHN,2024-12,3.77,1.67,83.78,4.16,6.13,19656.0,67.95,157.55,2.04
JPN,2020-01,2.62,2.03,41.84,0.32,6.62,11251.0,58.37,119.54,2.45
JPN,2020-02,6.4,2.16,47.41,4.18,5.76,10007.0,63.57,95.15,4.48
JPN,2020-03,4.98,0.61,42.81,0.83,6.84,13974.0,62.44,115.54,3.06
